"school";"student";"variable";"value"
"1";"1";"143";"intake";"bottom 25%"
"2";"1";"145";"intake";"mid 50%"
"3";"1";"142";"intake";"top 25%"
"4";"1";"141";"intake";"mid 50%"
"5";"1";"138";"intake";"mid 50%"
"6";"1";"155";"intake";"bottom 25%"
"7";"1";"158";"intake";"top 25%"
"8";"1";"115";"intake";"mid 50%"
"9";"1";"117";"intake";"mid 50%"
"10";"1";"113";"intake";"top 25%"
"11";"1";"112";"intake";"bottom 25%"
"12";"1";"137";"intake";"bottom 25%"
"13";"1";"134";"intake";"mid 50%"
"14";"1";"124";"intake";"bottom 25%"
"15";"1";"121";"intake";"bottom 25%"
"16";"1";"205";"intake";"bottom 25%"
"17";"1";"208";"intake";"bottom 25%"
"18";"1";"211";"intake";"bottom 25%"
"19";"1";"202";"intake";"top 25%"
"20";"1";"199";"intake";"top 25%"
"21";"1";"198";"intake";"mid 50%"
"22";"1";"220";"intake";"top 25%"
"23";"1";"221";"intake";"mid 50%"
"24";"1";"212";"intake";"top 25%"
"25";"1";"219";"intake";"mid 50%"
"26";"1";"215";"intake";"bottom 25%"
"27";"1";"172";"intake";"bottom 25%"
"28";"1";"177";"intake";"mid 50%"
"29";"1";"183";"intake";"bottom 25%"
"30";"1";"175";"intake";"bottom 25%"
"31";"1";"173";"intake";"mid 50%"
"32";"1";"197";"intake";"top 25%"
"33";"1";"192";"intake";"mid 50%"
"34";"1";"193";"intake";"mid 50%"
"35";"1";"191";"intake";"bottom 25%"
"36";"1";"188";"intake";"bottom 25%"
"37";"1";"223";"intake";"mid 50%"
"38";"1";"27";"intake";"mid 50%"
"39";"1";"28";"intake";"bottom 25%"
"40";"1";"31";"intake";"mid 50%"
"41";"1";"22";"intake";"mid 50%"
"42";"1";"43";"intake";"bottom 25%"
"43";"1";"36";"intake";"mid 50%"
"44";"1";"4";"intake";"mid 50%"
"45";"1";"6";"intake";"mid 50%"
"46";"1";"7";"intake";"top 25%"
"47";"1";"1";"intake";"bottom 25%"
"48";"1";"19";"intake";"mid 50%"
"49";"1";"16";"intake";"bottom 25%"
"50";"1";"17";"intake";"mid 50%"
"51";"1";"14";"intake";"mid 50%"
"52";"1";"13";"intake";"mid 50%"
"53";"1";"109";"intake";"bottom 25%"
"54";"1";"84";"intake";"bottom 25%"
"55";"1";"86";"intake";"bottom 25%"
"56";"1";"88";"intake";"bottom 25%"
"57";"1";"82";"intake";"mid 50%"
"58";"1";"80";"intake";"mid 50%"
"59";"1";"105";"intake";"mid 50%"
"60";"1";"108";"intake";"bottom 25%"
"61";"1";"95";"intake";"bottom 25%"
"62";"1";"90";"intake";"mid 50%"
"63";"1";"56";"intake";"bottom 25%"
"65";"1";"62";"intake";"bottom 25%"
"66";"1";"63";"intake";"bottom 25%"
