"school";"variable";"value"
"1";"schavg";0,1661752
"2";"schavg";0,3951492
"3";"schavg";0,5141552
"4";"schavg";0,0917642
"5";"schavg";0,2105252
"6";"schavg";0,6376562
"7";"schavg";-0,029003
"8";"schavg";-0,040532
"9";"schavg";-0,494304
"10";"schavg";0,1892722
"11";"schavg";0,6350562
"12";"schavg";-0,00874
"13";"schavg";-0,149341
"14";"schavg";0,3264402
"15";"schavg";0,2702882
"16";"schavg";0,3232042
"17";"schavg";-0,118244
"18";"schavg";0,1424362
"19";"schavg";0,3846302
"20";"schavg";0,4410412
"21";"schavg";0,2012732
"22";"schavg";-0,062356
"23";"schavg";-0,254685
"24";"schavg";-0,415201
"25";"schavg";-0,649018
"26";"schavg";-0,654875
"27";"schavg";-0,635548
"28";"schavg";-0,353908
"29";"schavg";-0,351834
"30";"schavg";0,2687752
"31";"schavg";-0,490832
"32";"schavg";-0,650231
"33";"schavg";0,0759212
"34";"schavg";-0,360043
"35";"schavg";-0,120454
"36";"schavg";-0,096466
"37";"schavg";-0,755961
"38";"schavg";-0,212047
"39";"schavg";-0,197124
"40";"schavg";-0,01305
"41";"schavg";-0,288729
"42";"schavg";-0,146179
"43";"schavg";0,4334322
"44";"schavg";-0,241656
"45";"schavg";-0,187182
"46";"schavg";-0,143724
"47";"schavg";-0,139923
"48";"schavg";-0,414084
"49";"schavg";-0,001192
"50";"schavg";0,0065332
"51";"schavg";-0,396984
"52";"schavg";0,1963172
"53";"schavg";0,3805512
"54";"schavg";0,5880652
"55";"schavg";0,2673852
"56";"schavg";-0,085653
"57";"schavg";-0,064455
"58";"schavg";0,2102702
"59";"schavg";-0,545095
"60";"schavg";-0,088644
"61";"schavg";-0,020198
"62";"schavg";0,1673862
"63";"schavg";0,1562112
"64";"schavg";0,4341442
"65";"schavg";-0,23535
