"school";"student";"variable";"value"
"1";"1";"143";"normexam";0,2613242
"2";"1";"145";"normexam";0,1340672
"3";"1";"142";"normexam";-1,723882
"4";"1";"141";"normexam";0,9675862
"5";"1";"138";"normexam";0,5443412
"6";"1";"155";"normexam";1,7348992
"7";"1";"158";"normexam";1,0396082
"8";"1";"115";"normexam";-0,129085
"9";"1";"117";"normexam";-0,939378
"10";"1";"113";"normexam";-1,219486
"11";"1";"112";"normexam";2,4086922
"12";"1";"137";"normexam";0,6107292
"13";"1";"134";"normexam";-1,836687
"14";"1";"124";"normexam";-0,129085
"15";"1";"121";"normexam";2,2031212
"16";"1";"205";"normexam";1,2405332
"17";"1";"208";"normexam";1,7348992
"18";"1";"211";"normexam";1,3101422
"19";"1";"202";"normexam";-0,623051
"20";"1";"199";"normexam";1,0396082
"21";"1";"198";"normexam";-1,029067
"22";"1";"220";"normexam";NA
"23";"1";"221";"normexam";0,3280722
"24";"1";"212";"normexam";-0,492781
"25";"1";"219";"normexam";1,9003352
"26";"1";"215";"normexam";0,8965662
"27";"1";"172";"normexam";0,0735362
"28";"1";"177";"normexam";0,1941492
"29";"1";"183";"normexam";1,5061852
"30";"1";"175";"normexam";1,9003352
"31";"1";"173";"normexam";0,3280722
"32";"1";"197";"normexam";0,8965662
"33";"1";"192";"normexam";1,6618062
"34";"1";"193";"normexam";-0,776109
"35";"1";"191";"normexam";0,4026692
"36";"1";"188";"normexam";0,9675862
"37";"1";"223";"normexam";0,4781942
"38";"1";"27";"normexam";0,1340672
"39";"1";"28";"normexam";2,3136012
"40";"1";"31";"normexam";-0,197611
"41";"1";"22";"normexam";0,4781942
"42";"1";"43";"normexam";0,8219882
"43";"1";"36";"normexam";1,0396082
"44";"1";"4";"normexam";-0,555112
"45";"1";"6";"normexam";-1,335315
"46";"1";"7";"normexam";-0,555112
"47";"1";"1";"normexam";1,5061852
"48";"1";"19";"normexam";-0,939378
"49";"1";"16";"normexam";2,3136012
"50";"1";"17";"normexam";-0,062088
"51";"1";"14";"normexam";-0,197611
"52";"1";"13";"normexam";-0,197611
"53";"1";"109";"normexam";2,0397092
"54";"1";"84";"normexam";NA
"55";"1";"86";"normexam";1,4395322
"56";"1";"88";"normexam";0,3280722
"57";"1";"82";"normexam";0,0735362
"58";"1";"80";"normexam";0,9675862
"59";"1";"105";"normexam";-1,029067
"60";"1";"108";"normexam";1,7348992
"61";"1";"95";"normexam";2,4086922
"62";"1";"90";"normexam";-1,526653
"63";"1";"56";"normexam";1,4395322
"64";"1";NA;"normexam";1,5061852
"65";"1";"62";"normexam";1,8138272
"66";"1";"63";"normexam";0,7472282
"67";"1";"59";"normexam";-1,029067
"68";"1";"57";"normexam";-0,129085
"69";"1";"73";"normexam";1,5792202
"70";"1";"68";"normexam";1,3101422
"71";"1";"64";"normexam";-1,118624
"72";"1";"65";"normexam";0,8965662
"73";"1";"66";"normexam";0,2613242
"74";"2";"100";"normexam";1,5792202
"75";"2";"96";"normexam";1,2405332
"76";"2";"95";"normexam";0,6107292
"77";"2";"108";"normexam";0,4781942
"78";"2";"102";"normexam";-1,118624
"79";"2";"104";"normexam";1,7348992
"80";"2";"109";"normexam";2,4086922
"81";"2";"77";"normexam";2,9246672
"82";"2";"78";"normexam";2,7018012
"83";"2";"75";"normexam";1,3101422
"84";"2";"91";"normexam";1,5061852
"85";"2";"84";"normexam";-0,129085
"86";"2";"87";"normexam";-0,129085
"87";"2";"134";"normexam";0,6107292
"88";"2";"135";"normexam";3,1340482
"89";"2";"132";"normexam";2,2031212
"90";"2";"131";"normexam";0,5443412
"91";"2";"143";"normexam";-0,623051
"92";"2";"137";"normexam";1,4395322
"93";"2";"138";"normexam";1,0396082
"94";"2";"110";"normexam";0,0043222
"95";"2";"112";"normexam";0,4026692
"96";"2";"113";"normexam";-0,623051
"97";"2";"111";"normexam";1,3101422
"98";"2";"129";"normexam";-1,029067
"99";"2";"119";"normexam";2,4086922
"100";"2";"115";"normexam";0,8219882
"101";"2";"147";"normexam";0,6107292
"102";"2";"31";"normexam";2,7018012
"103";"2";"26";"normexam";1,7348992
"104";"2";"38";"normexam";0,4026692
"105";"2";"32";"normexam";-1,962075
"106";"2";"35";"normexam";0,3280722
"107";"2";NA;"normexam";-1,438662
"108";"2";"3";"normexam";2,0397092
"109";"2";"5";"normexam";0,6107292
"110";"2";"1";"normexam";-0,555112
"111";"2";"15";"normexam";2,0397092
"112";"2";"11";"normexam";-0,623051
"113";"2";"8";"normexam";-1,118624
"114";"2";"68";"normexam";0,7472282
"115";"2";"59";"normexam";1,8138272
"116";"2";"60";"normexam";1,9771072
"117";"2";"57";"normexam";-1,219486
"118";"2";"55";"normexam";0,4026692
"119";"2";"61";"normexam";1,1094382
"120";"2";"65";"normexam";1,0396082
"121";"2";"40";"normexam";-0,265159
"122";"2";"44";"normexam";1,6618062
"123";"2";"46";"normexam";2,1029752
"124";"2";"43";"normexam";3,1340482
"125";"2";"54";"normexam";0,6107292
"126";"2";"53";"normexam";0,6107292
"127";"2";"49";"normexam";-1,335315
"128";"2";"50";"normexam";-0,85267
"129";"3";"136";"normexam";-0,197611
"130";"3";"169";"normexam";2,9246672
"131";"3";"171";"normexam";-0,699505
"132";"3";"121";"normexam";2,4086922
"133";"3";"122";"normexam";0,8965662
"134";"3";"120";"normexam";0,1340672
"135";"3";"119";"normexam";-0,699505
"136";"3";"134";"normexam";0,0043222
"137";"3";"123";"normexam";-0,062088
"138";"3";"125";"normexam";1,1758492
"139";"3";"204";"normexam";1,9771072
"140";"3";"206";"normexam";-0,265159
"141";"3";"197";"normexam";0,6787592
"142";"3";"195";"normexam";0,2613242
"143";"3";"212";"normexam";0,9675862
"144";"3";"207";"normexam";1,5061852
"145";"3";"211";"normexam";1,3747412
"146";"3";"208";"normexam";0,2613242
"147";"3";"172";"normexam";1,8138272
"148";"3";"181";"normexam";0,1340672
"149";"3";"180";"normexam";-1,118624
"150";"3";"173";"normexam";0,4026692
"151";"3";"194";"normexam";1,5792202
"152";"3";"188";"normexam";0,7472282
"153";"3";"219";"normexam";0,4026692
"154";"3";"41";"normexam";1,8138272
"155";"3";"36";"normexam";2,0397092
"156";"3";"42";"normexam";2,2031212
"157";"3";"46";"normexam";0,8219882
"158";"3";"50";"normexam";2,0397092
"159";"3";"12";"normexam";1,9771072
"160";"3";"9";"normexam";1,4395322
"161";"3";"22";"normexam";1,5792202
"162";"3";"18";"normexam";1,2405332
"163";"3";"20";"normexam";1,3747412
"164";"3";"104";"normexam";0,8965662
"165";"3";"90";"normexam";0,8219882
"166";"3";"94";"normexam";2,1029752
"167";"3";"88";"normexam";-0,338842
"168";"3";"87";"normexam";1,0396082
"169";"3";"86";"normexam";1,4395322
"170";"3";"103";"normexam";0,1340672
"171";"3";"102";"normexam";1,1094382
"172";"3";"98";"normexam";1,5061852
"173";"3";NA;"normexam";-0,939378
"174";"3";"64";"normexam";NA
"175";"3";"67";"normexam";0,6107292
"176";"3";"60";"normexam";0,7472282
"177";"3";"54";"normexam";-0,492781
"178";"3";"83";"normexam";-0,197611
"179";"3";"71";"normexam";0,9675862
"180";"3";"73";"normexam";2,2031212
"181";"4";"133";"normexam";0,6787592
"182";"4";"121";"normexam";0,4781942
"183";"4";"116";"normexam";0,2613242
"184";"4";"143";"normexam";0,1941492
"185";"4";"138";"normexam";-1,723882
"186";"4";"145";"normexam";-0,419801
"187";"4";"92";"normexam";0,4026692
"188";"4";"93";"normexam";-0,197611
"189";"4";"98";"normexam";0,0735362
"190";"4";"91";"normexam";-1,526653
"191";"4";"90";"normexam";-0,265159
"192";"4";"113";"normexam";-0,85267
"193";"4";"108";"normexam";0,3280722
"194";"4";"110";"normexam";-0,85267
"195";"4";"102";"normexam";0,4026692
"196";"4";"104";"normexam";-0,699505
"197";"4";"107";"normexam";0,6787592
"198";"4";"105";"normexam";2,5323522
"199";"4";"87";"normexam";1,5792202
"200";"4";"182";"normexam";-1,62373
"201";"4";"185";"normexam";-0,338842
"202";"4";"178";"normexam";-0,419801
"203";"4";"169";"normexam";-0,623051
"204";"4";"190";"normexam";1,3101422
"205";"4";"187";"normexam";0,6787592
"206";"4";"154";"normexam";-0,265159
"207";"4";"155";"normexam";-2,291731
"208";"4";"156";"normexam";-0,699505
"209";"4";"153";"normexam";-1,438662
