school;student;intake;sex;vr;normexam;standLRT;schgend;type;schavg
1;1;bottom 25%;F;mid 50%;1.5061852;0.7843622;mixed;Mxd;0.1661752
1;4;mid 50%;F;mid 50%;-0.555112;-1.03397;mixed;Mxd;0.1661752
1;6;mid 50%;M;mid 50%;-1.335315;-0.951318;mixed;Mxd;0.1661752
1;7;top 25%;M;mid 50%;-0.555112;-2.356393;mixed;Mxd;0.1661752
1;13;mid 50%;M;mid 50%;-0.197611;-0.290107;mixed;Mxd;0.1661752
1;14;mid 50%;M;mid 50%;-0.197611;0.0404992;mixed;Mxd;0.1661752
1;16;bottom 25%;F;mid 50%;2.3136012;0.7843622;mixed;Mxd;0.1661752
1;17;mid 50%;F;mid 50%;-0.062088;-0.703364;mixed;Mxd;0.1661752
1;22;mid 50%;M;mid 50%;0.4781942;-0.290107;mixed;Mxd;0.1661752
1;27;mid 50%;M;mid 50%;0.1340672;0.1231502;mixed;Mxd;0.1661752
1;28;bottom 25%;M;mid 50%;2.3136012;0.6190592;mixed;Mxd;0.1661752
1;31;mid 50%;M;mid 50%;-0.197611;0.2884532;mixed;Mxd;0.1661752
1;36;mid 50%;F;mid 50%;1.0396082;-0.290107;mixed;Mxd;0.1661752
1;43;bottom 25%;M;mid 50%;0.8219882;0.7843622;mixed;Mxd;0.1661752
1;56;bottom 25%;M;mid 50%;1.4395322;0.8670142;mixed;Mxd;0.1661752
1;57;mid 50%;M;mid 50%;-0.129085;-0.124804;mixed;Mxd;0.1661752
1;59;top 25%;M;mid 50%;-1.029067;-1.281924;mixed;Mxd;0.1661752
1;62;bottom 25%;M;mid 50%;1.8138272;0.4537562;mixed;Mxd;0.1661752
1;63;bottom 25%;F;mid 50%;0.7472282;1.2802712;mixed;Mxd;0.1661752
1;64;mid 50%;F;mid 50%;-1.118624;-0.868667;mixed;Mxd;0.1661752
1;65;bottom 25%;M;mid 50%;0.8965662;0.8670142;mixed;Mxd;0.1661752
1;66;mid 50%;M;mid 50%;0.2613242;0.3711052;mixed;Mxd;0.1661752
1;73;mid 50%;M;mid 50%;1.5792202;0.2058022;mixed;Mxd;0.1661752
1;80;mid 50%;F;mid 50%;0.9675862;-0.290107;mixed;Mxd;0.1661752
1;82;mid 50%;F;mid 50%;0.0735362;-0.042152;mixed;Mxd;0.1661752
1;86;bottom 25%;F;mid 50%;1.4395322;1.6108772;mixed;Mxd;0.1661752
1;88;bottom 25%;F;mid 50%;0.3280722;0.3711052;mixed;Mxd;0.1661752
1;90;mid 50%;M;mid 50%;-1.526653;-0.620713;mixed;Mxd;0.1661752
1;95;bottom 25%;F;mid 50%;2.4086922;1.1976192;mixed;Mxd;0.1661752
1;105;mid 50%;F;mid 50%;-1.029067;-0.620713;mixed;Mxd;0.1661752
1;108;bottom 25%;M;mid 50%;1.7348992;1.6108772;mixed;Mxd;0.1661752
1;109;bottom 25%;F;mid 50%;2.0397092;1.6108772;mixed;Mxd;0.1661752
1;112;bottom 25%;M;mid 50%;2.4086922;2.4373912;mixed;Mxd;0.1661752
1;113;top 25%;M;mid 50%;-1.219486;-1.447227;mixed;Mxd;0.1661752
1;115;mid 50%;M;mid 50%;-0.129085;-1.03397;mixed;Mxd;0.1661752
1;117;mid 50%;F;mid 50%;-0.939378;-0.538061;mixed;Mxd;0.1661752
1;121;bottom 25%;M;mid 50%;2.2031212;2.5200432;mixed;Mxd;0.1661752
1;124;bottom 25%;M;mid 50%;-0.129085;1.1976192;mixed;Mxd;0.1661752
1;134;mid 50%;M;mid 50%;-1.836687;0.0404992;mixed;Mxd;0.1661752
1;137;bottom 25%;M;mid 50%;0.6107292;2.1067862;mixed;Mxd;0.1661752
1;138;mid 50%;F;mid 50%;0.5443412;0.3711052;mixed;Mxd;0.1661752
1;141;mid 50%;F;mid 50%;0.9675862;0.2058022;mixed;Mxd;0.1661752
1;142;top 25%;M;mid 50%;-1.723882;-1.364576;mixed;Mxd;0.1661752
1;143;bottom 25%;F;mid 50%;0.2613242;0.6190592;mixed;Mxd;0.1661752
1;145;mid 50%;F;mid 50%;0.1340672;0.2058022;mixed;Mxd;0.1661752
1;155;bottom 25%;M;mid 50%;1.7348992;2.1894372;mixed;Mxd;0.1661752
1;158;top 25%;M;mid 50%;1.0396082;-1.116621;mixed;Mxd;0.1661752
1;172;bottom 25%;M;mid 50%;0.0735362;1.1149682;mixed;Mxd;0.1661752
1;173;mid 50%;M;mid 50%;0.3280722;-0.620713;mixed;Mxd;0.1661752
1;175;bottom 25%;M;mid 50%;1.9003352;2.0241342;mixed;Mxd;0.1661752
1;177;mid 50%;M;mid 50%;0.1941492;0.0404992;mixed;Mxd;0.1661752
1;183;bottom 25%;F;mid 50%;1.5061852;0.6190592;mixed;Mxd;0.1661752
1;188;bottom 25%;M;mid 50%;0.9675862;1.0323172;mixed;Mxd;0.1661752
1;191;bottom 25%;M;mid 50%;0.4026692;0.3711052;mixed;Mxd;0.1661752
1;192;mid 50%;M;mid 50%;1.6618062;0.2884532;mixed;Mxd;0.1661752
1;193;mid 50%;M;mid 50%;-0.776109;-0.124804;mixed;Mxd;0.1661752
1;197;top 25%;M;mid 50%;0.8965662;-1.116621;mixed;Mxd;0.1661752
1;198;mid 50%;F;mid 50%;-1.029067;-0.372758;mixed;Mxd;0.1661752
1;199;top 25%;F;mid 50%;1.0396082;-1.199273;mixed;Mxd;0.1661752
1;202;top 25%;M;mid 50%;-0.623051;-1.116621;mixed;Mxd;0.1661752
1;205;bottom 25%;F;mid 50%;1.2405332;1.1149682;mixed;Mxd;0.1661752
1;208;bottom 25%;F;mid 50%;1.7348992;1.0323172;mixed;Mxd;0.1661752
1;211;bottom 25%;M;mid 50%;1.3101422;0.7843622;mixed;Mxd;0.1661752
1;212;top 25%;M;mid 50%;-0.492781;-2.356393;mixed;Mxd;0.1661752
1;215;bottom 25%;M;mid 50%;0.8965662;0.3711052;mixed;Mxd;0.1661752
1;219;mid 50%;F;mid 50%;1.9003352;-0.042152;mixed;Mxd;0.1661752
1;221;mid 50%;F;mid 50%;0.3280722;-0.951318;mixed;Mxd;0.1661752
1;223;mid 50%;M;mid 50%;0.4781942;-0.124804;mixed;Mxd;0.1661752
2;1;mid 50%;F;top 25%;-0.555112;-0.124804;girls;Sngl;0.3951492
2;3;mid 50%;F;top 25%;2.0397092;0.2884532;girls;Sngl;0.3951492
2;5;mid 50%;F;top 25%;0.6107292;-0.45541;girls;Sngl;0.3951492
2;8;mid 50%;F;top 25%;-1.118624;-0.620713;girls;Sngl;0.3951492
